,Entity,Code,Year,"Child mortality rate (per 1,000 live births) (per 1,000 live births)", (2010 int-$),Unnamed: 5
1049,Australia,AUS,1971,21.0,982.3137,12987847.0
1050,Australia,AUS,1972,20.3,989.9003,13236895.0
1051,Australia,AUS,1973,19.4,1007.0003,13472175.0
1052,Australia,AUS,1974,18.4,1138.423,13690285.0
1053,Australia,AUS,1975,17.3,1299.7468,13889696.0
1054,Australia,AUS,1976,16.2,1337.0718,14067994.0
1055,Australia,AUS,1977,15.2,1403.1552,14227905.0
1056,Australia,AUS,1978,14.4,1410.1761,14379565.0
1057,Australia,AUS,1979,13.6,1410.7119,14536839.0
1058,Australia,AUS,1980,13.0,1440.4453,14709918.0
1059,Australia,AUS,1981,12.6,1467.8877,14901610.0
1060,Australia,AUS,1982,12.2,1475.0446,15109659.0
1061,Australia,AUS,1983,11.9,1508.2358,15332790.0
1062,Australia,AUS,1984,11.6,1561.121,15567927.0
1063,Australia,AUS,1985,11.3,1617.1644,15812088.0
1064,Australia,AUS,1986,11.0,1688.0412,16066496.0
1065,Australia,AUS,1987,10.6,1712.2838,16330369.0
1066,Australia,AUS,1988,10.2,1736.7152,16596096.0
1067,Australia,AUS,1989,9.7,1783.3481,16853690.0
1068,Australia,AUS,1990,9.2,1853.1596,17096153.0
1069,Australia,AUS,1991,8.7,1920.2033,17320633.0
1070,Australia,AUS,1992,8.2,1994.4415,17529469.0
1071,Australia,AUS,1993,7.7,2060.3732,17727413.0
1072,Australia,AUS,1994,7.3,2129.3472,17921818.0
1073,Australia,AUS,1995,7.0,2202.176,18118416.0
1074,Australia,AUS,1996,6.8,2307.517,18319637.0
1075,Australia,AUS,1997,6.6,2392.0429,18525153.0
1076,Australia,AUS,1998,6.4,2543.6197,18734878.0
1077,Australia,AUS,1999,6.3,2646.7086,18947894.0
1078,Australia,AUS,2000,6.2,2767.6725,19164351.0
1079,Australia,AUS,2001,6.1,2872.3738,19382188.0
1080,Australia,AUS,2002,6.0,2999.5093,19604051.0
1081,Australia,AUS,2003,5.9,3090.6573,19840120.0
1082,Australia,AUS,2004,5.8,3240.3186,20103822.0
1083,Australia,AUS,2005,5.7,3242.9106,20403520.0
1084,Australia,AUS,2006,5.6,3323.2565,20744295.0
1085,Australia,AUS,2007,5.4,3415.193,21119988.0
1086,Australia,AUS,2008,5.2,3494.4375,21513817.0
1087,Australia,AUS,2009,5.0,3629.7041,21902300.0
1088,Australia,AUS,2010,4.8,3607.3407,22268384.0
1089,Australia,AUS,2011,4.6,3738.1767,22605732.0
1090,Australia,AUS,2012,4.3,3831.3635,22918688.0
1091,Australia,AUS,2013,4.2,3901.7343,23213944.0
1248,Austria,AUT,1970,29.1,849.863,7465908.0
1249,Austria,AUT,1971,28.7,876.7198,7497731.0
1250,Austria,AUT,1972,28.0,924.9049,7526469.0
1251,Austria,AUT,1973,26.8,983.3833,7550638.0
1252,Austria,AUT,1974,25.1,1068.3942,7568347.0
1253,Austria,AUT,1975,23.0,1365.5542,7578498.0
1254,Austria,AUT,1976,21.1,1481.9085,7580564.0
1255,Austria,AUT,1977,19.4,1543.0276,7575669.0
1256,Austria,AUT,1978,18.1,1602.6562,7566450.0
1257,Austria,AUT,1979,17.1,1685.3273,7556551.0
1258,Austria,AUT,1980,16.2,1738.9518,7548798.0
1259,Austria,AUT,1981,15.5,1485.8219,7544359.0
1260,Austria,AUT,1982,14.8,1508.3548,7543194.0
1261,Austria,AUT,1983,14.0,1512.4136,7545472.0
1262,Austria,AUT,1984,13.3,1525.3671,7550960.0
1263,Austria,AUT,1985,12.6,1597.0039,7559621.0
1264,Austria,AUT,1986,11.9,1661.8794,7570906.0
1265,Austria,AUT,1987,11.2,1763.1259,7585345.0
1266,Austria,AUT,1988,10.5,1816.3715,7605095.0
1267,Austria,AUT,1989,10.0,1920.5468,7632984.0
1268,Austria,AUT,1990,9.5,2347.0307,7670513.0
1269,Austria,AUT,1991,9.0,2423.6339,7719577.0
1270,Austria,AUT,1992,8.5,2540.0944,7778255.0
1271,Austria,AUT,1993,7.9,2696.6659,7839625.0
1272,Austria,AUT,1994,7.4,2875.3106,7894229.0
1273,Austria,AUT,1995,6.8,2925.7651,7935624.0
1274,Austria,AUT,1996,6.4,2978.1928,7960464.0
1275,Austria,AUT,1997,6.0,3074.4388,7971553.0
1276,Austria,AUT,1998,5.8,3240.746,7976117.0
1277,Austria,AUT,1999,5.6,3404.3271,7984694.0
1278,Austria,AUT,2000,5.5,3472.7366,8004712.0
1279,Austria,AUT,2001,5.4,3531.3159,8038480.0
1280,Austria,AUT,2002,5.3,3620.3297,8083059.0
1281,Austria,AUT,2003,5.2,3695.6138,8134235.0
1282,Austria,AUT,2004,5.1,3797.4718,8185553.0
1283,Austria,AUT,2005,4.9,3826.3191,8232196.0
1284,Austria,AUT,2006,4.8,3893.9178,8273208.0
1285,Austria,AUT,2007,4.6,4020.3699,8309783.0
1286,Austria,AUT,2008,4.5,4136.9982,8341806.0
