,Entity,Code,Year,"Life expectancy at birth, total (years) (years)",Health expenditure (2010 int.-$) (int.-$),Total population (Gapminder)
1070,Australia,AUS,1971,71.0682926829268,982.3137,12987847.0
1071,Australia,AUS,1972,71.4575609756098,989.9003,13236895.0
1072,Australia,AUS,1973,71.84682926829271,1007.0003,13472175.0
1073,Australia,AUS,1974,72.2360975609756,1138.423,13690285.0
1074,Australia,AUS,1975,72.6253658536586,1299.7468,13889696.0
1075,Australia,AUS,1976,73.01463414634149,1337.0718,14067994.0
1076,Australia,AUS,1977,73.34439024390241,1403.1552,14227905.0
1077,Australia,AUS,1978,73.6741463414634,1410.1761,14379565.0
1078,Australia,AUS,1979,74.00390243902442,1410.7119,14536839.0
1079,Australia,AUS,1980,74.3336585365854,1440.4453,14709918.0
1080,Australia,AUS,1981,74.66341463414629,1467.8877,14901610.0
1081,Australia,AUS,1982,74.9048780487805,1475.0446,15109659.0
1082,Australia,AUS,1983,75.14634146341459,1508.2358,15332790.0
1083,Australia,AUS,1984,75.3878048780488,1561.121,15567927.0
1084,Australia,AUS,1985,75.62926829268291,1617.1644,15812088.0
1085,Australia,AUS,1986,75.87073170731709,1688.0412,16066496.0
1086,Australia,AUS,1987,76.1517073170732,1712.2838,16330369.0
1087,Australia,AUS,1988,76.4326829268293,1736.7152,16596096.0
1088,Australia,AUS,1989,76.71365853658541,1783.3481,16853690.0
1089,Australia,AUS,1990,76.9946341463415,1853.1596,17096153.0
1090,Australia,AUS,1991,77.2756097560976,1920.2033,17320633.0
1091,Australia,AUS,1992,77.37804878048779,1994.4415,17529469.0
1092,Australia,AUS,1993,77.87804878048779,2060.3732,17727413.0
1093,Australia,AUS,1994,77.87804878048779,2129.3472,17921818.0
1094,Australia,AUS,1995,77.82926829268291,2202.176,18118416.0
1095,Australia,AUS,1996,78.07804878048779,2307.517,18319637.0
1096,Australia,AUS,1997,78.4804878048781,2392.0429,18525153.0
1097,Australia,AUS,1998,78.63170731707321,2543.6197,18734878.0
1098,Australia,AUS,1999,78.9317073170732,2646.7086,18947894.0
1099,Australia,AUS,2000,79.2341463414634,2767.6725,19164351.0
1100,Australia,AUS,2001,79.6341463414634,2872.3738,19382188.0
1101,Australia,AUS,2002,79.9365853658537,2999.5093,19604051.0
1102,Australia,AUS,2003,80.2390243902439,3090.6573,19840120.0
1103,Australia,AUS,2004,80.490243902439,3240.3186,20103822.0
1104,Australia,AUS,2005,80.84146341463409,3242.9106,20403520.0
1105,Australia,AUS,2006,81.0414634146342,3323.2565,20744295.0
1106,Australia,AUS,2007,81.2926829268293,3415.193,21119988.0
1107,Australia,AUS,2008,81.39512195121951,3494.4375,21513817.0
1108,Australia,AUS,2009,81.54390243902441,3629.7041,21902300.0
1109,Australia,AUS,2010,81.6951219512195,3607.3407,22268384.0
1110,Australia,AUS,2011,81.89512195121951,3738.1767,22605732.0
1111,Australia,AUS,2012,82.04634146341459,3831.3635,22918688.0
1112,Australia,AUS,2013,82.14878048780491,3901.7343,23213944.0
1268,Austria,AUT,1970,69.9146341463415,849.863,7465908.0
1269,Austria,AUT,1971,70.1146341463415,876.7198,7497731.0
1270,Austria,AUT,1972,70.4634146341463,924.9049,7526469.0
1271,Austria,AUT,1973,71.01463414634149,983.3833,7550638.0
1272,Austria,AUT,1974,71.0121951219512,1068.3942,7568347.0
1273,Austria,AUT,1975,71.1146341463415,1365.5542,7578498.0
1274,Austria,AUT,1976,71.5658536585366,1481.9085,7580564.0
1275,Austria,AUT,1977,71.9146341463415,1543.0276,7575669.0
1276,Austria,AUT,1978,72.0121951219512,1602.6562,7566450.0
1277,Austria,AUT,1979,72.3121951219512,1685.3273,7556551.0
1278,Austria,AUT,1980,72.4634146341463,1738.9518,7548798.0
1279,Austria,AUT,1981,72.8121951219512,1485.8219,7544359.0
1280,Austria,AUT,1982,72.9609756097561,1508.3548,7543194.0
1281,Austria,AUT,1983,73.0121951219512,1512.4136,7545472.0
1282,Austria,AUT,1984,73.6121951219512,1525.3671,7550960.0
1283,Austria,AUT,1985,73.81463414634149,1597.0039,7559621.0
1284,Austria,AUT,1986,74.3170731707317,1661.8794,7570906.0
1285,Austria,AUT,1987,74.7682926829268,1763.1259,7585345.0
1286,Austria,AUT,1988,75.21707317073171,1816.3715,7605095.0
1287,Austria,AUT,1989,75.2658536585366,1920.5468,7632984.0
1288,Austria,AUT,1990,75.56829268292691,2347.0307,7670513.0
1289,Austria,AUT,1991,75.6170731707317,2423.6339,7719577.0
1290,Austria,AUT,1992,75.8170731707317,2540.0944,7778255.0
1291,Austria,AUT,1993,76.0682926829268,2696.6659,7839625.0
1292,Austria,AUT,1994,76.41951219512201,2875.3106,7894229.0
1293,Austria,AUT,1995,76.6682926829268,2925.7651,7935624.0
1294,Austria,AUT,1996,76.87073170731709,2978.1928,7960464.0
1295,Austria,AUT,1997,77.319512195122,3074.4388,7971553.0
1296,Austria,AUT,1998,77.67073170731709,3240.746,7976117.0
1297,Austria,AUT,1999,77.87560975609759,3404.3271,7984694.0
1298,Austria,AUT,2000,78.12682926829271,3472.7366,8004712.0
1299,Austria,AUT,2001,78.57560975609759,3531.3159,8038480.0
1300,Austria,AUT,2002,78.6780487804878,3620.3297,8083059.0
1301,Austria,AUT,2003,78.63170731707321,3695.6138,8134235.0
1302,Austria,AUT,2004,79.1804878048781,3797.4718,8185553.0
1303,Austria,AUT,2005,79.3317073170732,3826.3191,8232196.0
1304,Austria,AUT,2006,79.88048780487809,3893.9178,8273208.0
1305,Austria,AUT,2007,80.1804878048781,4020.3699,8309783.0
1306,Austria,AUT,2008,80.4317073170732,4136.9982,8341806.0
1307,Austria,AUT,2009,80.3317073170732,4178.429,8369639.0
1308,Austria,AUT,2010,80.58048780487809,4236.3164,8393644.0
1309,Austria,AUT,2011,80.9829268292683,4253.5175,8413429.0
1310,Austria,AUT,2012,80.9365853658537,4362.1556,8428915.0
1311,Austria,AUT,2013,81.1365853658537,4352.5783,8441263.0
1908,Belgium,BEL,1970,70.9719512195122,683.3738,9624908.0
1909,Belgium,BEL,1971,71.0604878048781,723.5906,9660688.0
1910,Belgium,BEL,1972,71.4051219512195,788.4374,9696539.0
1911,Belgium,BEL,1973,71.63536585365858,891.1623,9730978.0
1912,Belgium,BEL,1974,71.9858536585366,939.3939,9761867.0
1913,Belgium,BEL,1975,71.97121951219509,1154.0117,9787677.0
1914,Belgium,BEL,1976,72.119756097561,1262.6339,9808403.0
1915,Belgium,BEL,1977,72.77390243902441,1372.7239,9824685.0
1916,Belgium,BEL,1978,72.6980487804878,1453.5338,9836487.0
1917,Belgium,BEL,1979,73.1936585365854,1482.0677,9843898.0
1918,Belgium,BEL,1980,73.2070731707317,1494.2748,9847297.0
1919,Belgium,BEL,1981,73.6217073170732,1590.1579,9846320.0
1920,Belgium,BEL,1982,73.8880487804878,1655.4796,9841800.0
1921,Belgium,BEL,1983,73.86902439024391,1701.4332,9836784.0
1922,Belgium,BEL,1984,74.4048780487805,1703.9211,9835279.0
1923,Belgium,BEL,1985,74.520243902439,1744.1525,9840123.0
1924,Belgium,BEL,1986,74.7317073170732,1819.5336,9852488.0
1925,Belgium,BEL,1987,75.3658536585366,1888.226,9871551.0
1926,Belgium,BEL,1988,75.5658536585366,1970.8607,9895654.0
1927,Belgium,BEL,1989,75.6326829268293,2015.7184,9922158.0
1928,Belgium,BEL,1990,76.0519512195122,2085.3743,9949019.0
1929,Belgium,BEL,1991,76.1921951219512,2208.0614,9976325.0
1930,Belgium,BEL,1992,76.35121951219509,2286.7203,10004469.0
1931,Belgium,BEL,1993,76.3453658536585,2292.4751,10032084.0
1932,Belgium,BEL,1994,76.6917073170732,2297.5698,10057529.0
1933,Belgium,BEL,1995,76.84073170731709,2334.5471,10079873.0
1934,Belgium,BEL,1996,77.1873170731707,2454.2452,10098192.0
1935,Belgium,BEL,1997,77.37073170731709,2492.5703,10113392.0
1936,Belgium,BEL,1998,77.4731707317073,2577.5149,10128653.0
1937,Belgium,BEL,1999,77.619512195122,2720.044,10148371.0
1938,Belgium,BEL,2000,77.7219512195122,2826.9874,10175684.0
1939,Belgium,BEL,2001,77.9731707317073,2898.5499,10211264.0
1940,Belgium,BEL,2002,78.07560975609759,2994.2747,10254025.0
1941,Belgium,BEL,2003,78.12926829268291,3305.4234,10303108.0
1942,Belgium,BEL,2004,78.87804878048779,3418.6101,10356993.0
1943,Belgium,BEL,2005,78.9804878048781,3442.567,10414209.0
1944,Belgium,BEL,2006,79.380487804878,3469.8104,10474993.0
1945,Belgium,BEL,2007,79.78292682926829,3577.1295,10538758.0
1946,Belgium,BEL,2008,79.6804878048781,3725.1113,10602167.0
1947,Belgium,BEL,2009,80.0341463414634,3900.7277,10660938.0
1948,Belgium,BEL,2010,80.1829268292683,3901.9126,10712066.0
1949,Belgium,BEL,2011,80.5853658536585,3986.078,10754056.0
1950,Belgium,BEL,2012,80.3853658536585,4006.2239,10787788.0
1951,Belgium,BEL,2013,80.5878048780488,4062.795,10815599.0
3309,Canada,CAN,1970,72.7004878048781,1295.7665,21716855.0
3310,Canada,CAN,1971,73.0292682926829,1390.037,22048431.0
3311,Canada,CAN,1972,72.93390243902441,1430.5746,22344104.0
3312,Canada,CAN,1973,73.1626829268293,1437.3807,22614673.0
3313,Canada,CAN,1974,73.2375609756098,1442.2155,22876657.0
3314,Canada,CAN,1975,73.52170731707321,1553.5575,23142272.0
3315,Canada,CAN,1976,73.85609756097558,1621.8955,23416090.0
3316,Canada,CAN,1977,74.21560975609759,1653.0144,23695198.0
