,Entity,Code,Year, (2010 int-$),"Maternal mortality (deaths per 100,000 births) (deaths per 100,000 live births)",Unnamed: 5
1027,Australia,AUS,1971,982.3137,18.8,12987847.0
1028,Australia,AUS,1972,989.9003,14.1,13236895.0
1029,Australia,AUS,1973,1007.0003,11.7,13472175.0
1030,Australia,AUS,1974,1138.423,9.4,13690285.0
1031,Australia,AUS,1975,1299.7468,10.1,13889696.0
1032,Australia,AUS,1976,1337.0718,8.9,14067994.0
1033,Australia,AUS,1977,1403.1552,9.3,14227905.0
1034,Australia,AUS,1978,1410.1761,7.6,14379565.0
1035,Australia,AUS,1979,1410.7119,7.6,14536839.0
1046,Australia,AUS,1990,1853.1596,8.0,17096153.0
1047,Australia,AUS,1991,1920.2033,8.0,17320633.0
1048,Australia,AUS,1992,1994.4415,8.0,17529469.0
1049,Australia,AUS,1993,2060.3732,8.0,17727413.0
1050,Australia,AUS,1994,2129.3472,8.0,17921818.0
1051,Australia,AUS,1995,2202.176,8.0,18118416.0
1052,Australia,AUS,1996,2307.517,8.0,18319637.0
1053,Australia,AUS,1997,2392.0429,9.0,18525153.0
1054,Australia,AUS,1998,2543.6197,8.0,18734878.0
1055,Australia,AUS,1999,2646.7086,9.0,18947894.0
1056,Australia,AUS,2000,2767.6725,9.0,19164351.0
1057,Australia,AUS,2001,2872.3738,8.0,19382188.0
1058,Australia,AUS,2002,2999.5093,8.0,19604051.0
1059,Australia,AUS,2003,3090.6573,8.0,19840120.0
1060,Australia,AUS,2004,3240.3186,7.0,20103822.0
1061,Australia,AUS,2005,3242.9106,7.0,20403520.0
1062,Australia,AUS,2006,3323.2565,7.0,20744295.0
1063,Australia,AUS,2007,3415.193,7.0,21119988.0
1064,Australia,AUS,2008,3494.4375,7.0,21513817.0
1065,Australia,AUS,2009,3629.7041,7.0,21902300.0
1066,Australia,AUS,2010,3607.3407,6.0,22268384.0
1067,Australia,AUS,2011,3738.1767,7.0,22605732.0
1068,Australia,AUS,2012,3831.3635,6.0,22918688.0
1069,Australia,AUS,2013,3901.7343,6.0,23213944.0
1244,Austria,AUT,1990,2347.0307,8.0,7670513.0
1245,Austria,AUT,1991,2423.6339,8.0,7719577.0
1246,Austria,AUT,1992,2540.0944,8.0,7778255.0
1247,Austria,AUT,1993,2696.6659,7.0,7839625.0
1248,Austria,AUT,1994,2875.3106,7.0,7894229.0
1249,Austria,AUT,1995,2925.7651,6.0,7935624.0
1250,Austria,AUT,1996,2978.1928,6.0,7960464.0
1251,Austria,AUT,1997,3074.4388,5.0,7971553.0
