,Entity,Code,Year,"Child mortality rate (per 1,000 live births) ",$ Spent per Citizen,Total Population
1049,Australia,AUS,1971,21,982.3137,12987847
1050,Australia,AUS,1972,20.3,989.9003,13236895
1051,Australia,AUS,1973,19.4,1007.0003,13472175
1052,Australia,AUS,1974,18.4,1138.423,13690285
1053,Australia,AUS,1975,17.3,1299.7468,13889696
1054,Australia,AUS,1976,16.2,1337.0718,14067994
1055,Australia,AUS,1977,15.2,1403.1552,14227905
1056,Australia,AUS,1978,14.4,1410.1761,14379565
1057,Australia,AUS,1979,13.6,1410.7119,14536839
1058,Australia,AUS,1980,13,1440.4453,14709918
1059,Australia,AUS,1981,12.6,1467.8877,14901610
1060,Australia,AUS,1982,12.2,1475.0446,15109659
1061,Australia,AUS,1983,11.9,1508.2358,15332790
1062,Australia,AUS,1984,11.6,1561.121,15567927
1063,Australia,AUS,1985,11.3,1617.1644,15812088
1064,Australia,AUS,1986,11,1688.0412,16066496
1065,Australia,AUS,1987,10.6,1712.2838,16330369
1066,Australia,AUS,1988,10.2,1736.7152,16596096
1067,Australia,AUS,1989,9.7,1783.3481,16853690
1068,Australia,AUS,1990,9.2,1853.1596,17096153
1069,Australia,AUS,1991,8.7,1920.2033,17320633
1070,Australia,AUS,1992,8.2,1994.4415,17529469
1071,Australia,AUS,1993,7.7,2060.3732,17727413
1072,Australia,AUS,1994,7.3,2129.3472,17921818
1073,Australia,AUS,1995,7,2202.176,18118416
1074,Australia,AUS,1996,6.8,2307.517,18319637
1075,Australia,AUS,1997,6.6,2392.0429,18525153
1076,Australia,AUS,1998,6.4,2543.6197,18734878
1077,Australia,AUS,1999,6.3,2646.7086,18947894
1078,Australia,AUS,2000,6.2,2767.6725,19164351
1079,Australia,AUS,2001,6.1,2872.3738,19382188
1080,Australia,AUS,2002,6,2999.5093,19604051
1081,Australia,AUS,2003,5.9,3090.6573,19840120
1082,Australia,AUS,2004,5.8,3240.3186,20103822
1083,Australia,AUS,2005,5.7,3242.9106,20403520
1084,Australia,AUS,2006,5.6,3323.2565,20744295
1085,Australia,AUS,2007,5.4,3415.193,21119988
1086,Australia,AUS,2008,5.2,3494.4375,21513817
1087,Australia,AUS,2009,5,3629.7041,21902300
1088,Australia,AUS,2010,4.8,3607.3407,22268384
1089,Australia,AUS,2011,4.6,3738.1767,22605732
1090,Australia,AUS,2012,4.3,3831.3635,22918688
1091,Australia,AUS,2013,4.2,3901.7343,23213944
1248,Austria,AUT,1970,29.1,849.863,7465908
1249,Austria,AUT,1971,28.7,876.7198,7497731
1250,Austria,AUT,1972,28,924.9049,7526469
1251,Austria,AUT,1973,26.8,983.3833,7550638
1252,Austria,AUT,1974,25.1,1068.3942,7568347
1253,Austria,AUT,1975,23,1365.5542,7578498
1254,Austria,AUT,1976,21.1,1481.9085,7580564
1255,Austria,AUT,1977,19.4,1543.0276,7575669
1256,Austria,AUT,1978,18.1,1602.6562,7566450
1257,Austria,AUT,1979,17.1,1685.3273,7556551
1258,Austria,AUT,1980,16.2,1738.9518,7548798
1259,Austria,AUT,1981,15.5,1485.8219,7544359
1260,Austria,AUT,1982,14.8,1508.3548,7543194
1261,Austria,AUT,1983,14,1512.4136,7545472
1262,Austria,AUT,1984,13.3,1525.3671,7550960
1263,Austria,AUT,1985,12.6,1597.0039,7559621
1264,Austria,AUT,1986,11.9,1661.8794,7570906
1265,Austria,AUT,1987,11.2,1763.1259,7585345
1266,Austria,AUT,1988,10.5,1816.3715,7605095
1267,Austria,AUT,1989,10,1920.5468,7632984
1268,Austria,AUT,1990,9.5,2347.0307,7670513
1269,Austria,AUT,1991,9,2423.6339,7719577
1270,Austria,AUT,1992,8.5,2540.0944,7778255
1271,Austria,AUT,1993,7.9,2696.6659,7839625
1272,Austria,AUT,1994,7.4,2875.3106,7894229
1273,Austria,AUT,1995,6.8,2925.7651,7935624
1274,Austria,AUT,1996,6.4,2978.1928,7960464
1275,Austria,AUT,1997,6,3074.4388,7971553
1276,Austria,AUT,1998,5.8,3240.746,7976117
1277,Austria,AUT,1999,5.6,3404.3271,7984694
1278,Austria,AUT,2000,5.5,3472.7366,8004712
1279,Austria,AUT,2001,5.4,3531.3159,8038480
1280,Austria,AUT,2002,5.3,3620.3297,8083059
1281,Austria,AUT,2003,5.2,3695.6138,8134235
1282,Austria,AUT,2004,5.1,3797.4718,8185553
1283,Austria,AUT,2005,4.9,3826.3191,8232196
1284,Austria,AUT,2006,4.8,3893.9178,8273208
1285,Austria,AUT,2007,4.6,4020.3699,8309783
1286,Austria,AUT,2008,4.5,4136.9982,8341806
1287,Austria,AUT,2009,4.4,4178.429,8369639
1288,Austria,AUT,2010,4.3,4236.3164,8393644
1289,Austria,AUT,2011,4.2,4253.5175,8413429
1290,Austria,AUT,2012,4.1,4362.1556,8428915
1291,Austria,AUT,2013,3.9,4352.5783,8441263
1895,Belgium,BEL,1970,23.9,683.3738,9624908
1896,Belgium,BEL,1971,23,723.5906,9660688
1897,Belgium,BEL,1972,21.9,788.4374,9696539
1898,Belgium,BEL,1973,20.8,891.1623,9730978
1899,Belgium,BEL,1974,19.6,939.3939,9761867
1900,Belgium,BEL,1975,18.6,1154.0117,9787677
1901,Belgium,BEL,1976,17.6,1262.6339,9808403
1902,Belgium,BEL,1977,16.7,1372.7239,9824685
1903,Belgium,BEL,1978,15.9,1453.5338,9836487
1904,Belgium,BEL,1979,15.2,1482.0677,9843898
1905,Belgium,BEL,1980,14.5,1494.2748,9847297
1906,Belgium,BEL,1981,13.9,1590.1579,9846320
1907,Belgium,BEL,1982,13.3,1655.4796,9841800
1908,Belgium,BEL,1983,12.7,1701.4332,9836784
1909,Belgium,BEL,1984,12.2,1703.9211,9835279
1910,Belgium,BEL,1985,11.8,1744.1525,9840123
1911,Belgium,BEL,1986,11.4,1819.5336,9852488
1912,Belgium,BEL,1987,11,1888.226,9871551
1913,Belgium,BEL,1988,10.7,1970.8607,9895654
1914,Belgium,BEL,1989,10.3,2015.7184,9922158
1915,Belgium,BEL,1990,10,2085.3743,9949019
1916,Belgium,BEL,1991,9.6,2208.0614,9976325
1917,Belgium,BEL,1992,9.2,2286.7203,10004469
1918,Belgium,BEL,1993,8.7,2292.4751,10032084
1919,Belgium,BEL,1994,8.2,2297.5698,10057529
1920,Belgium,BEL,1995,7.6,2334.5471,10079873
1921,Belgium,BEL,1996,7.1,2454.2452,10098192
1922,Belgium,BEL,1997,6.7,2492.5703,10113392
1923,Belgium,BEL,1998,6.4,2577.5149,10128653
1924,Belgium,BEL,1999,6.1,2720.044,10148371
1925,Belgium,BEL,2000,5.9,2826.9874,10175684
1926,Belgium,BEL,2001,5.7,2898.5499,10211264
1927,Belgium,BEL,2002,5.5,2994.2747,10254025
1928,Belgium,BEL,2003,5.3,3305.4234,10303108
1929,Belgium,BEL,2004,5.2,3418.6101,10356993
1930,Belgium,BEL,2005,5,3442.567,10414209
1931,Belgium,BEL,2006,4.9,3469.8104,10474993
1932,Belgium,BEL,2007,4.8,3577.1295,10538758
1933,Belgium,BEL,2008,4.7,3725.1113,10602167
1934,Belgium,BEL,2009,4.6,3900.7277,10660938
1935,Belgium,BEL,2010,4.5,3901.9126,10712066
1936,Belgium,BEL,2011,4.4,3986.078,10754056
1937,Belgium,BEL,2012,4.3,4006.2239,10787788
1938,Belgium,BEL,2013,4.2,4062.795,10815599
3307,Canada,CAN,1970,22,1295.7665,21716855
3308,Canada,CAN,1971,21,1390.037,22048431
3309,Canada,CAN,1972,19.9,1430.5746,22344104
3310,Canada,CAN,1973,18.9,1437.3807,22614673
3311,Canada,CAN,1974,18,1442.2155,22876657
3312,Canada,CAN,1975,17,1553.5575,23142272
3313,Canada,CAN,1976,16,1621.8955,23416090
3314,Canada,CAN,1977,15.1,1653.0144,23695198
3315,Canada,CAN,1978,14.2,1694.2938,23975639
3316,Canada,CAN,1979,13.3,1711.5811,24250641
3317,Canada,CAN,1980,12.5,1773.2352,24516277
3318,Canada,CAN,1981,11.8,1867.9228,24769849
3319,Canada,CAN,1982,11.2,1979.7332,25016047
3320,Canada,CAN,1983,10.6,2057.1832,25266950
3321,Canada,CAN,1984,10.1,2126.6136,25538860
3322,Canada,CAN,1985,9.8,2209.266,25842588
3323,Canada,CAN,1986,9.4,2306.182,26183106
3324,Canada,CAN,1987,9.1,2351.3938,26554540
3325,Canada,CAN,1988,8.8,2423.1176,26943398
3326,Canada,CAN,1989,8.6,2500.3536,27330298
3327,Canada,CAN,1990,8.3,2595.9141,27700854
3328,Canada,CAN,1991,8,2714.7232,28051725
3329,Canada,CAN,1992,7.7,2781.2469,28386162
3330,Canada,CAN,1993,7.4,2788.8032,28704519
3331,Canada,CAN,1994,7.2,2771.8514,29009032
3332,Canada,CAN,1995,6.9,2720.2965,29302092
3333,Canada,CAN,1996,6.7,2672.6873,29582222
3334,Canada,CAN,1997,6.5,2753.7682,29850242
3335,Canada,CAN,1998,6.4,2915.6411,30113972
3336,Canada,CAN,1999,6.3,2963.8153,30383823
3337,Canada,CAN,2000,6.2,3058.155,30667365
3338,Canada,CAN,2001,6.2,3219.9298,30967236
3339,Canada,CAN,2002,6.1,3369.4221,31281727
