,Entity,Code,Year,Life expectancy,$ Spent per Citizen,Total population,Universal Healthcare
1070,Australia,AUS,1971,71.06829268,982.3137,12987847,Yes
1071,Australia,AUS,1972,71.45756098,989.9003,13236895,Yes
1072,Australia,AUS,1973,71.84682927,1007.0003,13472175,Yes
1073,Australia,AUS,1974,72.23609756,1138.423,13690285,Yes
1074,Australia,AUS,1975,72.62536585,1299.7468,13889696,Yes
1075,Australia,AUS,1976,73.01463415,1337.0718,14067994,Yes
1076,Australia,AUS,1977,73.34439024,1403.1552,14227905,Yes
1077,Australia,AUS,1978,73.67414634,1410.1761,14379565,Yes
1078,Australia,AUS,1979,74.00390244,1410.7119,14536839,Yes
1079,Australia,AUS,1980,74.33365854,1440.4453,14709918,Yes
1080,Australia,AUS,1981,74.66341463,1467.8877,14901610,Yes
1081,Australia,AUS,1982,74.90487805,1475.0446,15109659,Yes
1082,Australia,AUS,1983,75.14634146,1508.2358,15332790,Yes
1083,Australia,AUS,1984,75.38780488,1561.121,15567927,Yes
1084,Australia,AUS,1985,75.62926829,1617.1644,15812088,Yes
1085,Australia,AUS,1986,75.87073171,1688.0412,16066496,Yes
1086,Australia,AUS,1987,76.15170732,1712.2838,16330369,Yes
1087,Australia,AUS,1988,76.43268293,1736.7152,16596096,Yes
1088,Australia,AUS,1989,76.71365854,1783.3481,16853690,Yes
1089,Australia,AUS,1990,76.99463415,1853.1596,17096153,Yes
1090,Australia,AUS,1991,77.27560976,1920.2033,17320633,Yes
1091,Australia,AUS,1992,77.37804878,1994.4415,17529469,Yes
1092,Australia,AUS,1993,77.87804878,2060.3732,17727413,Yes
1093,Australia,AUS,1994,77.87804878,2129.3472,17921818,Yes
1094,Australia,AUS,1995,77.82926829,2202.176,18118416,Yes
1095,Australia,AUS,1996,78.07804878,2307.517,18319637,Yes
1096,Australia,AUS,1997,78.4804878,2392.0429,18525153,Yes
1097,Australia,AUS,1998,78.63170732,2543.6197,18734878,Yes
1098,Australia,AUS,1999,78.93170732,2646.7086,18947894,Yes
1099,Australia,AUS,2000,79.23414634,2767.6725,19164351,Yes
1100,Australia,AUS,2001,79.63414634,2872.3738,19382188,Yes
1101,Australia,AUS,2002,79.93658537,2999.5093,19604051,Yes
1102,Australia,AUS,2003,80.23902439,3090.6573,19840120,Yes
1103,Australia,AUS,2004,80.4902439,3240.3186,20103822,Yes
1104,Australia,AUS,2005,80.84146341,3242.9106,20403520,Yes
1105,Australia,AUS,2006,81.04146341,3323.2565,20744295,Yes
1106,Australia,AUS,2007,81.29268293,3415.193,21119988,Yes
1107,Australia,AUS,2008,81.39512195,3494.4375,21513817,Yes
1108,Australia,AUS,2009,81.54390244,3629.7041,21902300,Yes
1109,Australia,AUS,2010,81.69512195,3607.3407,22268384,Yes
1110,Australia,AUS,2011,81.89512195,3738.1767,22605732,Yes
1111,Australia,AUS,2012,82.04634146,3831.3635,22918688,Yes
1112,Australia,AUS,2013,82.14878049,3901.7343,23213944,Yes
1268,Austria,AUT,1970,69.91463415,849.863,7465908,Yes
1269,Austria,AUT,1971,70.11463415,876.7198,7497731,Yes
1270,Austria,AUT,1972,70.46341463,924.9049,7526469,Yes
1271,Austria,AUT,1973,71.01463415,983.3833,7550638,Yes
1272,Austria,AUT,1974,71.01219512,1068.3942,7568347,Yes
1273,Austria,AUT,1975,71.11463415,1365.5542,7578498,Yes
1274,Austria,AUT,1976,71.56585366,1481.9085,7580564,Yes
1275,Austria,AUT,1977,71.91463415,1543.0276,7575669,Yes
1276,Austria,AUT,1978,72.01219512,1602.6562,7566450,Yes
1277,Austria,AUT,1979,72.31219512,1685.3273,7556551,Yes
1278,Austria,AUT,1980,72.46341463,1738.9518,7548798,Yes
1279,Austria,AUT,1981,72.81219512,1485.8219,7544359,Yes
1280,Austria,AUT,1982,72.96097561,1508.3548,7543194,Yes
1281,Austria,AUT,1983,73.01219512,1512.4136,7545472,Yes
1282,Austria,AUT,1984,73.61219512,1525.3671,7550960,Yes
1283,Austria,AUT,1985,73.81463415,1597.0039,7559621,Yes
1284,Austria,AUT,1986,74.31707317,1661.8794,7570906,Yes
1285,Austria,AUT,1987,74.76829268,1763.1259,7585345,Yes
1286,Austria,AUT,1988,75.21707317,1816.3715,7605095,Yes
1287,Austria,AUT,1989,75.26585366,1920.5468,7632984,Yes
1288,Austria,AUT,1990,75.56829268,2347.0307,7670513,Yes
1289,Austria,AUT,1991,75.61707317,2423.6339,7719577,Yes
1290,Austria,AUT,1992,75.81707317,2540.0944,7778255,Yes
1291,Austria,AUT,1993,76.06829268,2696.6659,7839625,Yes
1292,Austria,AUT,1994,76.4195122,2875.3106,7894229,Yes
1293,Austria,AUT,1995,76.66829268,2925.7651,7935624,Yes
1294,Austria,AUT,1996,76.87073171,2978.1928,7960464,Yes
1295,Austria,AUT,1997,77.3195122,3074.4388,7971553,Yes
1296,Austria,AUT,1998,77.67073171,3240.746,7976117,Yes
1297,Austria,AUT,1999,77.87560976,3404.3271,7984694,Yes
1298,Austria,AUT,2000,78.12682927,3472.7366,8004712,Yes
1299,Austria,AUT,2001,78.57560976,3531.3159,8038480,Yes
1300,Austria,AUT,2002,78.67804878,3620.3297,8083059,Yes
1301,Austria,AUT,2003,78.63170732,3695.6138,8134235,Yes
1302,Austria,AUT,2004,79.1804878,3797.4718,8185553,Yes
1303,Austria,AUT,2005,79.33170732,3826.3191,8232196,Yes
1304,Austria,AUT,2006,79.8804878,3893.9178,8273208,Yes
1305,Austria,AUT,2007,80.1804878,4020.3699,8309783,Yes
1306,Austria,AUT,2008,80.43170732,4136.9982,8341806,Yes
1307,Austria,AUT,2009,80.33170732,4178.429,8369639,Yes
1308,Austria,AUT,2010,80.5804878,4236.3164,8393644,Yes
1309,Austria,AUT,2011,80.98292683,4253.5175,8413429,Yes
1310,Austria,AUT,2012,80.93658537,4362.1556,8428915,Yes
1311,Austria,AUT,2013,81.13658537,4352.5783,8441263,Yes
1908,Belgium,BEL,1970,70.97195122,683.3738,9624908,Yes
1909,Belgium,BEL,1971,71.0604878,723.5906,9660688,Yes
1910,Belgium,BEL,1972,71.40512195,788.4374,9696539,Yes
1911,Belgium,BEL,1973,71.63536585,891.1623,9730978,Yes
1912,Belgium,BEL,1974,71.98585366,939.3939,9761867,Yes
1913,Belgium,BEL,1975,71.97121951,1154.0117,9787677,Yes
