,Entity,Code,Year, (2010 int-$),"Maternal mortality (deaths per 100,000 births) (deaths per 100,000 live births)",Unnamed: 5
1027,Australia,AUS,1971,982.3137,18.8,12987847
1028,Australia,AUS,1972,989.9003,14.1,13236895
1029,Australia,AUS,1973,1007.0003,11.7,13472175
1030,Australia,AUS,1974,1138.423,9.4,13690285
1031,Australia,AUS,1975,1299.7468,10.1,13889696
1032,Australia,AUS,1976,1337.0718,8.9,14067994
1033,Australia,AUS,1977,1403.1552,9.3,14227905
1034,Australia,AUS,1978,1410.1761,7.6,14379565
1035,Australia,AUS,1979,1410.7119,7.6,14536839
1046,Australia,AUS,1990,1853.1596,8,17096153
1047,Australia,AUS,1991,1920.2033,8,17320633
1048,Australia,AUS,1992,1994.4415,8,17529469
1049,Australia,AUS,1993,2060.3732,8,17727413
1050,Australia,AUS,1994,2129.3472,8,17921818
1051,Australia,AUS,1995,2202.176,8,18118416
1052,Australia,AUS,1996,2307.517,8,18319637
1053,Australia,AUS,1997,2392.0429,9,18525153
1054,Australia,AUS,1998,2543.6197,8,18734878
1055,Australia,AUS,1999,2646.7086,9,18947894
1056,Australia,AUS,2000,2767.6725,9,19164351
1057,Australia,AUS,2001,2872.3738,8,19382188
1058,Australia,AUS,2002,2999.5093,8,19604051
1059,Australia,AUS,2003,3090.6573,8,19840120
1060,Australia,AUS,2004,3240.3186,7,20103822
1061,Australia,AUS,2005,3242.9106,7,20403520
1062,Australia,AUS,2006,3323.2565,7,20744295
1063,Australia,AUS,2007,3415.193,7,21119988
1064,Australia,AUS,2008,3494.4375,7,21513817
1065,Australia,AUS,2009,3629.7041,7,21902300
1066,Australia,AUS,2010,3607.3407,6,22268384
1067,Australia,AUS,2011,3738.1767,7,22605732
1068,Australia,AUS,2012,3831.3635,6,22918688
1069,Australia,AUS,2013,3901.7343,6,23213944
1244,Austria,AUT,1990,2347.0307,8,7670513
1245,Austria,AUT,1991,2423.6339,8,7719577
1246,Austria,AUT,1992,2540.0944,8,7778255
1247,Austria,AUT,1993,2696.6659,7,7839625
1248,Austria,AUT,1994,2875.3106,7,7894229
1249,Austria,AUT,1995,2925.7651,6,7935624
1250,Austria,AUT,1996,2978.1928,6,7960464
1251,Austria,AUT,1997,3074.4388,5,7971553
1252,Austria,AUT,1998,3240.746,5,7976117
1253,Austria,AUT,1999,3404.3271,5,7984694
1254,Austria,AUT,2000,3472.7366,5,8004712
1255,Austria,AUT,2001,3531.3159,5,8038480
1256,Austria,AUT,2002,3620.3297,5,8083059
1257,Austria,AUT,2003,3695.6138,5,8134235
1258,Austria,AUT,2004,3797.4718,4,8185553
1259,Austria,AUT,2005,3826.3191,5,8232196
1260,Austria,AUT,2006,3893.9178,4,8273208
1261,Austria,AUT,2007,4020.3699,4,8309783
1262,Austria,AUT,2008,4136.9982,4,8341806
1263,Austria,AUT,2009,4178.429,4,8369639
1264,Austria,AUT,2010,4236.3164,4,8393644
1265,Austria,AUT,2011,4253.5175,4,8413429
1266,Austria,AUT,2012,4362.1556,4,8428915
1267,Austria,AUT,2013,4352.5783,4,8441263
1857,Belgium,BEL,1970,683.3738,20.4,9624908
1858,Belgium,BEL,1971,723.5906,18,9660688
1859,Belgium,BEL,1972,788.4374,15.4,9696539
1860,Belgium,BEL,1973,891.1623,14.2,9730978
1861,Belgium,BEL,1974,939.3939,14,9761867
1862,Belgium,BEL,1975,1154.0117,11.8,9787677
1863,Belgium,BEL,1976,1262.6339,9.7,9808403
1864,Belgium,BEL,1977,1372.7239,9.9,9824685
1865,Belgium,BEL,1978,1453.5338,10.9,9836487
1866,Belgium,BEL,1979,1482.0677,10.9,9843898
1877,Belgium,BEL,1990,2085.3743,9,9949019
1878,Belgium,BEL,1991,2208.0614,9,9976325
1879,Belgium,BEL,1992,2286.7203,9,10004469
1880,Belgium,BEL,1993,2292.4751,9,10032084
1881,Belgium,BEL,1994,2297.5698,9,10057529
1882,Belgium,BEL,1995,2334.5471,10,10079873
1883,Belgium,BEL,1996,2454.2452,10,10098192
1884,Belgium,BEL,1997,2492.5703,9,10113392
1885,Belgium,BEL,1998,2577.5149,9,10128653
1886,Belgium,BEL,1999,2720.044,9,10148371
1887,Belgium,BEL,2000,2826.9874,9,10175684
1888,Belgium,BEL,2001,2898.5499,9,10211264
1889,Belgium,BEL,2002,2994.2747,8,10254025
1890,Belgium,BEL,2003,3305.4234,8,10303108
1891,Belgium,BEL,2004,3418.6101,8,10356993
1892,Belgium,BEL,2005,3442.567,8,10414209
1893,Belgium,BEL,2006,3469.8104,8,10474993
1894,Belgium,BEL,2007,3577.1295,8,10538758
1895,Belgium,BEL,2008,3725.1113,8,10602167
1896,Belgium,BEL,2009,3900.7277,8,10660938
1897,Belgium,BEL,2010,3901.9126,8,10712066
1898,Belgium,BEL,2011,3986.078,8,10754056
1899,Belgium,BEL,2012,4006.2239,7,10787788
1900,Belgium,BEL,2013,4062.795,7,10815599
3261,Canada,CAN,1990,2595.9141,7,27700854
3262,Canada,CAN,1991,2714.7232,8,28051725
3263,Canada,CAN,1992,2781.2469,8,28386162
3264,Canada,CAN,1993,2788.8032,8,28704519
3265,Canada,CAN,1994,2771.8514,8,29009032
3266,Canada,CAN,1995,2720.2965,9,29302092
3267,Canada,CAN,1996,2672.6873,9,29582222
3268,Canada,CAN,1997,2753.7682,9,29850242
3269,Canada,CAN,1998,2915.6411,9,30113972
3270,Canada,CAN,1999,2963.8153,9,30383823
3271,Canada,CAN,2000,3058.155,9,30667365
3272,Canada,CAN,2001,3219.9298,9,30967236
3273,Canada,CAN,2002,3369.4221,9,31281727
3274,Canada,CAN,2003,3458.5634,9,31608562
3275,Canada,CAN,2004,3553.4721,9,31943605
3276,Canada,CAN,2005,3619.4946,9,32283413
3277,Canada,CAN,2006,3745.9104,9,32627978
3278,Canada,CAN,2007,3823.2951,9,32977334
3279,Canada,CAN,2008,3888.0876,9,33327954
3280,Canada,CAN,2009,4168.1453,8,33675448
3281,Canada,CAN,2010,4242.3395,8,34016593
3282,Canada,CAN,2011,4197.4339,8,34349561
3283,Canada,CAN,2012,4217.7065,8,34674708
3284,Canada,CAN,2013,4227.6444,7,34993747
3790,Chile,CHL,1995,518.8709,41,14409416
3791,Chile,CHL,1996,571.4461,39,14630769
3792,Chile,CHL,1997,602.4807,36,14840038
3793,Chile,CHL,1998,643.746,34,15039162
3794,Chile,CHL,1999,643.4363,34,15231557
3795,Chile,CHL,2000,672.0826,31,15419820
3796,Chile,CHL,2001,702.5606,32,15604200
3797,Chile,CHL,2002,723.3348,29,15783991
3798,Chile,CHL,2003,847.996,29,15959793
3799,Chile,CHL,2004,900.6741,29,16132209
3800,Chile,CHL,2005,945.5478,27,16301726
3801,Chile,CHL,2006,986.7056,28,16468677
3802,Chile,CHL,2007,1053.6318,29,16633254
3803,Chile,CHL,2008,1084.6686,28,16795593
3804,Chile,CHL,2009,1153.454,27,16955737
3805,Chile,CHL,2010,1219.6509,26,17113688
3806,Chile,CHL,2011,1279.5465,25,17269525
3807,Chile,CHL,2012,1355.3914,24,17423214
3808,Chile,CHL,2013,1464.9806,23,17574464
4849,Czech Republic,CZE,1990,716.5572,14,10302718
4850,Czech Republic,CZE,1991,658.0074,14,10307130
4851,Czech Republic,CZE,1992,674.823,13,10313662
4852,Czech Republic,CZE,1993,903.4505,12,10319923
4853,Czech Republic,CZE,1994,957.5316,11,10322561
4854,Czech Republic,CZE,1995,1058.9196,10,10319337
4855,Czech Republic,CZE,1996,1082.1967,9,10310016
4856,Czech Republic,CZE,1997,1077.8613,9,10295984
4857,Czech Republic,CZE,1998,1072.1795,7,10278707
4858,Czech Republic,CZE,1999,1123.4993,7,10260335
4859,Czech Republic,CZE,2000,1159.6971,7,10242890
4860,Czech Republic,CZE,2001,1234.4662,7,10225701
4861,Czech Republic,CZE,2002,1324.2376,7,10209500
4862,Czech Republic,CZE,2003,1452.0197,6,10199327
4863,Czech Republic,CZE,2004,1481.5625,6,10201665
4864,Czech Republic,CZE,2005,1574.6261,6,10220638
4865,Czech Republic,CZE,2006,1628.7237,6,10258796
4866,Czech Republic,CZE,2007,1660.1874,5,10313525
4867,Czech Republic,CZE,2008,1787.753,5,10377359
4868,Czech Republic,CZE,2009,1939.7369,5,10439735
4869,Czech Republic,CZE,2010,1879.5815,5,10492960
4870,Czech Republic,CZE,2011,1927.1554,5,10534293
4871,Czech Republic,CZE,2012,1924.5446,4,10565678
4872,Czech Republic,CZE,2013,2102.5929,4,10589806
5096,Denmark,DNK,1971,1752.6046,5.9,4959083
5097,Denmark,DNK,1972,1832.706,4,4987806
5098,Denmark,DNK,1973,1840.6337,4.6,5014503
5099,Denmark,DNK,1974,1983.8015,5.1,5038752
5100,Denmark,DNK,1975,2007.4161,5.2,5060227
5101,Denmark,DNK,1976,2097.479,4.5,5079015
5102,Denmark,DNK,1977,2082.9591,5.3,5095133
5103,Denmark,DNK,1978,2152.0583,8.2,5108145
5104,Denmark,DNK,1979,2256.2179,8.2,5117514
5115,Denmark,DNK,1990,2603.6992,11,5141034
5116,Denmark,DNK,1991,2600.6729,11,5155038
5117,Denmark,DNK,1992,2647.4906,11,5172040
5118,Denmark,DNK,1993,2747.1456,11,5191370
5119,Denmark,DNK,1994,2811.1094,11,5212071
5120,Denmark,DNK,1995,2772.5318,11,5233364
5121,Denmark,DNK,1996,2861.9021,11,5255213
5122,Denmark,DNK,1997,2909.2982,11,5277572
5123,Denmark,DNK,1998,2887.3885,9,5299649
5124,Denmark,DNK,1999,3272.6025,10,5320488
5125,Denmark,DNK,2000,3287.6537,9,5339501
5126,Denmark,DNK,2001,3443.0322,9,5356055
5127,Denmark,DNK,2002,3551.795,9,5370507
5128,Denmark,DNK,2003,3638.1442,9,5384487
5129,Denmark,DNK,2004,3769.889,9,5400280
5130,Denmark,DNK,2005,3883.3181,8,5419444
5131,Denmark,DNK,2006,4052.4257,8,5442644
5132,Denmark,DNK,2007,4137.2414,8,5469130
5133,Denmark,DNK,2008,4175.102,8,5497312
5134,Denmark,DNK,2009,4434.2513,8,5524874
5135,Denmark,DNK,2010,4370.3331,7,5550142
5136,Denmark,DNK,2011,4310.9932,8,5572594
