"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16353.797,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2015",16144.755,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"CAN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"FIN","EDUEXP","TRY","USD_STUDENT","A","2014",17874.633,
"FIN","EDUEXP","TRY","USD_STUDENT","A","2015",17591.236,
"FIN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"USA","EDUEXP","TRY","USD_STUDENT","A","2014",29328.235,
"USA","EDUEXP","TRY","USD_STUDENT","A","2015",30003.244,
"USA","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"MEX","EDUEXP","TRY","USD_STUDENT","A","2014",8900.553,
"MEX","EDUEXP","TRY","USD_STUDENT","A","2015",8169.657,
"MEX","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"DEU","EDUEXP","TRY","USD_STUDENT","A","2014",17144.18,
"DEU","EDUEXP","TRY","USD_STUDENT","A","2015",17035.571,
"DEU","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"JPN","EDUEXP","TRY","USD_STUDENT","A","2014",19546.843,
"JPN","EDUEXP","TRY","USD_STUDENT","A","2015",19289.162,
"JPN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"GBR","EDUEXP","TRY","USD_STUDENT","A","2014",24345.555,
"GBR","EDUEXP","TRY","USD_STUDENT","A","2015",26320.053,
"GBR","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
"KOR","EDUEXP","TRY","USD_STUDENT","A","2014",11711.396,
"KOR","EDUEXP","TRY","USD_STUDENT","A","2015",10108.948,
"KOR","EDUEXP","TRY","USD_STUDENT","A","2016",,"M"
