"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9950.004,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10000.179,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10398.065,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10535.674,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10501.547,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10467.831,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",8834.754,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9271.955,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9448.139,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9658.92,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9769.05,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10025.469,
"FIN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9265.066,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9343.783,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9312.157,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9778.401,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9918.34,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",9897.165,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9203.307,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9613.138,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9821.053,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10300.284,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10779.232,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10863.375,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",8885.861,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9168.719,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9563.784,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9801.809,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10022.11,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10167.273,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
