"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.728,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.561,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.523,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.48,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.442,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.504,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.961,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.909,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.941,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.926,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.944,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",4.003,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.938,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.809,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.791,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.784,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.784,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.743,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.317,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.188,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.131,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.1,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.064,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2015",2.996,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",2.846,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",2.84,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",2.821,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",2.732,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",2.755,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",2.686,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.403,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.357,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.335,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2013",4.166,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.003,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.982,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.893,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.888,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.815,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.884,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.869,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.857,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.238,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.274,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.338,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2013",4.685,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.714,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2015",4.361,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.907,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.781,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.632,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.541,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.51,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.514,
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
