"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.442,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.504,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.944,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",4.003,
"FIN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.784,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.743,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.064,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2015",2.996,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",2.755,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",2.686,
"JPN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.003,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.982,
"KOR","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.869,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.857,
"MEX","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2014",4.714,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2015",4.361,
"GBR","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.51,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.514,
"USA","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"CHN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
