"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2012",525,
"CAN","PISASCIENCE","TOT","MEANSCORE","A","2015",528,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2012",545,
"FIN","PISASCIENCE","TOT","MEANSCORE","A","2015",531,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2012",499,
"FRA","PISASCIENCE","TOT","MEANSCORE","A","2015",495,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2012",524,
"DEU","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2012",547,
"JPN","PISASCIENCE","TOT","MEANSCORE","A","2015",538,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2012",538,
"KOR","PISASCIENCE","TOT","MEANSCORE","A","2015",516,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2012",415,
"MEX","PISASCIENCE","TOT","MEANSCORE","A","2015",416,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2012",514,
"GBR","PISASCIENCE","TOT","MEANSCORE","A","2015",509,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2012",497,
"USA","PISASCIENCE","TOT","MEANSCORE","A","2015",496,
"HKG","PISASCIENCE","TOT","MEANSCORE","A","2015",523,
