"s"
"Year","GDP-US $ billion nominal","Population-US million","Pensions-fed $ billion nominal","","Health Care-fed $ billion nominal","","Education-fed $ billion nominal","","Defense-fed $ billion nominal","","Welfare-fed $ billion nominal","","Protection-fed $ billion nominal","","Transportation-fed $ billion nominal","","General Government-fed $ billion nominal",""
"1960","542.4","179.323","12.53","a","1.45","a","1.64","a","53.29","a","3.01","a","0.17","a","4.45","a","0.75","a"
"1961","562.2","181.588","13.43","a","1.60","a","1.72","a","56.99","a","3.24","a","0.19","a","4.36","a","0.79","a"
"1962","603.9","183.881","11.72","a","1.20","a","1.74","a","63.60","a","6.59","a","0.32","a","4.29","a","1.46","a"
"1963","637.5","186.204","13.23","a","1.45","a","1.99","a","64.22","a","6.44","a","0.34","a","4.60","a","1.61","a"
"1964","684.5","188.555","14.16","a","1.79","a","2.32","a","65.38","a","6.42","a","0.36","a","5.24","a","1.87","a"
"1965","742.3","190.937","15.14","a","1.79","a","2.93","a","61.61","a","5.94","a","0.39","a","5.76","a","1.91","a"
"1966","813.4","193.348","18.46","a","2.61","a","5.22","a","69.61","a","5.62","a","0.41","a","5.73","a","2.00","a"
"1967","860","195.790","19.60","a","6.10","a","7.35","a","83.72","a","5.73","a","0.45","a","5.94","a","2.20","a"
"1968","940.7","198.263","22.00","a","9.04","a","8.57","a","94.26","a","6.59","a","0.47","a","6.32","a","2.19","a"
"1969","1017.6","200.766","25.56","a","10.86","a","8.49","a","94.73","a","7.26","a","0.54","a","6.53","a","2.35","a"
"1970","1073.3","203.302","28.40","a","12.12","a","9.58","a","94.69","a","9.08","a","0.65","a","7.01","a","2.81","a"
"1971","1164.9","205.515","35.01","a","13.47","a","10.86","a","92.80","a","14.75","a","0.79","a","8.05","a","3.18","a"
"1972","1279.1","207.752","40.35","a","16.15","a","13.51","a","94.67","a","18.16","a","0.96","a","8.39","a","3.93","a"
"1973","1425.4","210.013","51.13","a","17.41","a","13.71","a","92.84","a","16.78","a","1.16","a","9.07","a","11.10","a"
"1974","1545.2","212.299","59.40","a","20.37","a","13.47","a","98.43","a","20.18","a","1.31","a","9.17","a","11.43","a"
"1975","1684.9","214.609","71.41","a","25.80","a","17.06","a","110.19","a","32.25","a","1.63","a","10.92","a","12.04","a"
"1976","1873.4","216.945","80.91","a","31.57","a","19.95","a","114.47","a","42.07","a","1.81","a","13.74","a","11.65","a"
"1977","2081.8","219.307","93.85","a","36.65","a","22.18","a","121.62","a","39.77","a","2.01","a","14.83","a","14.74","a"
"1978","2351.6","221.694","103.62","a","41.29","a","27.87","a","130.94","a","38.29","a","2.25","a","15.52","a","13.92","a"
"1979","2627.3","224.107","116.91","a","46.99","a","31.52","a","143.72","a","39.33","a","2.45","a","18.08","a","14.28","a"
"1980","2857.3","226.546","134.40","a","55.26","a","33.22","a","167.88","a","54.87","a","2.70","a","21.33","a","15.33","a"
"1981","3207","228.670","158.42","a","66.02","a","34.62","a","193.59","a","63.57","a","2.94","a","23.38","a","13.56","a"
"1982","3343.8","230.815","176.03","a","74.01","a","28.22","a","221.55","a","68.24","a","3.03","a","20.62","a","12.89","a"
"1983","3634","232.979","189.35","a","81.23","a","27.84","a","246.57","a","80.93","a","3.45","a","21.33","a","13.61","a"
"1984","4037.6","235.164","196.48","a","87.96","a","28.76","a","268.85","a","69.88","a","3.85","a","23.67","a","14.22","a"
"1985","4339","237.369","205.70","a","99.36","a","30.60","a","295.16","a","84.80","a","4.21","a","25.84","a","14.24","a"
"1986","4579.6","239.595","217.19","a","106.10","a","31.98","a","313.83","a","73.96","a","4.38","a","28.11","a","14.93","a"
"1987","4855.2","241.842","226.14","a","115.08","a","31.16","a","320.37","a","74.79","a","4.98","a","26.22","a","10.84","a"
"1988","5236.4","244.110","238.14","a","123.36","a","33.33","a","330.19","a","78.22","a","6.17","a","27.27","a","13.33","a"
"1989","5641.6","246.399","253.11","a","133.34","a","37.95","a","343.14","a","82.74","a","5.93","a","27.61","a","13.92","a"
"1990","5963.1","248.710","272.20","a","155.80","a","39.99","a","342.11","a","91.65","a","6.13","a","29.49","a","14.88","a"
"1991","6158.1","251.802","293.90","a","175.66","a","44.37","a","320.41","a","111.54","a","7.47","a","31.10","a","17.30","a"
"1992","6520.3","254.933","313.93","a","208.51","a","46.29","a","348.48","a","136.60","a","8.80","a","33.33","a","19.21","a"
"1993","6858.6","258.103","334.42","a","229.95","a","51.29","a","343.94","a","145.70","a","9.04","a","35.00","a","19.84","a"
"1994","7287.2","261.312","353.05","a","251.86","a","47.11","a","336.27","a","149.03","a","9.19","a","38.07","a","19.58","a"
"1995","7639.7","264.561","372.44","a","275.25","a","55.12","a","326.35","a","152.82","a","9.40","a","39.35","a","21.99","a"
"1996","8073.1","267.850","389.44","a","293.59","a","52.30","a","316.19","a","156.44","a","10.34","a","39.57","a","21.01","a"
"1997","8577.6","271.180","407.26","a","313.85","a","53.05","a","324.96","a","158.78","a","11.47","a","40.77","a","23.19","a"
"1998","9062.8","274.552","422.46","a","324.25","a","55.82","a","322.99","a","159.63","a","13.10","a","40.34","a","26.66","a"
"1999","9630.7","277.966","431.47","a","331.50","a","56.24","a","333.16","a","165.45","a","14.66","a","42.53","a","28.12","a"
"2000","10252.3","282.172","453.91","a","351.62","a","59.93","a","358.57","a","171.38","a","15.83","a","46.85","a","28.07","a"
"2001","10581.8","285.082","480.90","a","389.62","a","63.61","a","366.19","a","183.04","a","16.75","a","54.45","a","29.57","a"
"2002","10936.4","287.804","502.72","a","427.35","a","77.83","a","421.70","a","223.62","a","20.15","a","61.83","a","32.67","a"
"2003","11458.2","290.326","517.53","a","468.97","a","90.54","a","482.92","a","242.43","a","20.33","a","67.07","a","39.92","a"
"2004","12213.7","293.046","537.42","a","509.48","a","96.37","a","542.43","a","237.76","a","23.88","a","64.63","a","45.10","a"
"2005","13036.6","295.753","564.71","a","549.19","a","106.37","a","599.98","a","245.52","a","24.76","a","67.89","a","35.10","a"
"2006","13814.6","298.593","590.58","a","582.61","a","127.58","a","621.13","a","249.59","a","25.09","a","70.24","a","35.46","a"
"2007","14451.9","301.580","636.12","a","641.79","a","100.81","a","652.56","a","254.23","a","25.91","a","72.91","a","36.23","a"
"2008","14712.8","304.375","668.75","a","671.36","a","100.86","a","729.58","a","313.42","a","31.23","a","77.62","a","37.65","a"
"2009","14448.9","307.007","738.64","a","764.43","a","89.77","a","793.97","a","406.89","a","34.59","a","84.29","a","41.02","a"
"2010","14992.1","309.326","756.13","a","820.70","a","140.33","a","847.06","a","495.78","a","35.04","a","91.97","a","44.08","a"
"2011","15542.6","311.580","782.28","a","858.16","a","113.67","a","878.43","a","466.21","a","36.35","a","92.97","a","48.66","a"
"2012","16197","313.874","819.50","a","818.54","a","103.28","a","839.25","a","411.20","a","35.73","a","93.02","a","50.59","a"
"2013","16784.9","316.058","870.94","a","856.14","a","85.29","a","818.85","a","397.80","a","34.06","a","91.67","a","48.97","a"
"2014","17521.7","318.386","914.57","a","921.14","a","102.63","a","799.95","a","370.26","a","32.86","a","91.92","a","44.39","a"
"2015","18219.3","320.743","953.60","a","1028.43","a","133.78","a","801.44","a","361.87","a","33.99","a","89.53","a","43.66","a"
"2016","18707.2","323.071","980.57","a","1105.83","a","121.69","a","813.19","a","365.61","a","35.84","a","92.57","a","47.12","a"
"2017","19485.4","325.147","1006.64","a","1130.44","a","156.30","a","821.57","a","356.75","a","36.80","a","93.55","a","48.51","a"
"2018","20494.1","327.167","1047.42","a","1139.92","a","107.94","a","858.99","a","348.31","a","38.15","a","92.79","a","47.99","a"
"2019","21288.9","329.523","1111.23","b","1252.17","b","156.08","b","939.36","b","378.58","b","41.62","b","98.91","b","58.58","b"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
" b - budgeted estimate in US FY20 budget"
"Data Sources for 1960:"
"GDP, GO: ","https://usgovernmentspending.blogspot.com/search/label/usgdp","GDP, GO Sources",""
